,e0,e-1,e-2,e-3,e-4,e-5,e-6,e-7,e-8,e-9,e-10,e-100
n_cells,100.0,97.47,93.84,90.76,85.78,81.99,76.78,71.33,66.9,62.72,58.93,37.2
0,100.0,93.44,88.52,85.25,77.05,65.57,52.46,37.7,27.87,19.67,4.92,
1,100.0,99.47,98.4,98.4,98.4,97.87,97.34,96.81,95.74,94.68,93.09,74.47
2,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.53,97.06,97.06,91.18
3,100.0,91.67,88.54,76.04,65.62,57.29,42.71,35.42,30.21,22.92,11.46,
4,100.0,99.15,97.44,97.44,95.73,94.87,91.45,88.89,84.62,82.05,79.49,47.01
5,100.0,100.0,93.94,93.94,93.94,93.94,90.91,84.85,84.85,84.85,81.82,
6,100.0,94.64,92.86,89.29,78.57,71.43,60.71,48.21,37.5,30.36,23.21,
7,100.0,97.41,93.1,91.38,87.07,81.9,81.03,78.45,76.72,74.14,74.14,69.83
8,100.0,100.0,81.67,71.67,61.67,56.67,45.0,25.0,16.67,11.67,10.0,
9,100.0,98.63,93.15,87.67,78.08,73.97,71.23,58.9,53.42,49.32,47.95,6.85
10,100.0,100.0,99.06,99.06,94.34,91.51,86.79,85.85,80.19,75.47,72.64,40.57
11,100.0,97.48,96.64,94.96,89.08,83.19,79.83,75.63,68.91,64.71,60.5,26.05
12,100.0,94.32,84.09,73.86,64.77,59.09,47.73,37.5,31.82,19.32,12.5,1.14
13,100.0,96.05,93.42,93.42,90.79,90.79,86.84,86.84,86.84,85.53,84.21,69.74
14,100.0,100.0,100.0,100.0,100.0,100.0,100.0,88.89,77.78,77.78,77.78,
